Daily crop growth at site Oensingen in year 2
Day,Temperature,Precipitation,Irrigation,Radiation,PET,Transpiration,Evaporation,Total_crops,,,,Crop 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crop 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Temperature,Precipitation,Irrigation,Radiation,PET,Transpiration,Evaporation,LeafC,StemC,RootC,GrainC,CropID,TDD,GrowthIndex,Water_demand,Water_stress,N_demand,N_stress,LAI,N_from_soil,N_from_air_NH3,N_fixation,Day_N_increase,TotalCropN,DailyCropGrowth,DayLeafGrowth,DayStemGrowth,DayRootGrowth,DayGrainGrowth,DayShootSenes,DayRootSenes,DayGrainSenes,LeafC,StemC,RootC,GrainC,LeafN,StemN,RootN,GrainN,CropID,TDD,GrowthIndex,Water_demand,Water_stress,N_demand,N_stress,LAI,N_from_soil,N_from_air_NH3,N_fixation,Day_N_increase,TotalCropN,DailyCropGrowth,DayLeafGrowth,DayStemGrowth,DayRootGrowth,DayGrainGrowth,DayShootSenes,DayRootSenes,DayGrainSenes,LeafC,StemC,RootC,GrainC,LeafN,StemN,RootN,GrainN,
,degree_C,mm,mm,MJ/m2/d,mm,mm,mm,kgC/ha/d,kgC/ha,kgC/ha,kgC/ha,,degree_C,,mm,,,kgN/ha/d,,kgN/ha/d,kgN/ha/d,kgN/ha/d,kgN/ha/d,kgN/ha,kgC/ha/d,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,,degree_C,,mm,,,kgN/ha/d,,kgN/ha/d,kgN/ha/d,kgN/ha/d,kgN/ha/d,kgN/ha,kgC/ha/d,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgC/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,
   1,      8.65,      0.00,      0.00,      5.65,      0.08,      0.00,      0.07,    542.30,    532.15,    430.79,      0.00,         2,    460.20,      0.21,      1.08,      1.00,      0.43,      1.00,      0.69,      0.43,      0.00,      0.00,      0.43,     15.70,     41.65,     21.36,     11.21,      9.08,      0.00,      0.00,      0.00,      0.00,    542.30,    532.15,    430.79,      0.00,      5.65,      5.55,      4.49,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   2,      7.35,      3.00,      0.00,      4.56,      0.00,      0.00,      0.00,    560.45,    541.68,    438.50,      0.00,         2,    467.55,      0.21,      0.92,      1.00,      0.37,      1.00,      0.72,      0.37,      0.00,      0.00,      0.37,     16.07,     35.39,     18.15,      9.53,      7.71,      0.00,      0.00,      0.00,      0.00,    560.45,    541.68,    438.50,      0.00,      5.84,      5.65,      4.57,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   3,      6.20,      4.00,      0.00,      1.55,      0.00,      0.00,      0.00,    575.76,    549.72,    445.01,      0.00,         2,    473.75,      0.22,      0.77,      1.00,      0.31,      1.00,      0.73,      0.31,      0.00,      0.00,      0.31,     16.38,     29.86,     15.31,      8.04,      6.51,      0.00,      0.00,      0.00,      0.00,    575.76,    549.72,    445.01,      0.00,      6.00,      5.73,      4.64,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   4,      6.70,      0.00,      0.00,      2.12,      0.00,      0.00,      0.00,    592.30,    558.40,    452.04,      0.00,         2,    480.45,      0.22,      0.84,      1.00,      0.34,      1.00,      0.75,      0.34,      0.00,      0.00,      0.34,     16.72,     32.26,     16.55,      8.69,      7.03,      0.00,      0.00,      0.00,      0.00,    592.30,    558.40,    452.04,      0.00,      6.18,      5.82,      4.71,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   5,      7.30,      2.00,      0.00,      2.84,      0.00,      0.00,      0.00,    610.33,    567.87,    459.70,      0.00,         2,    487.75,      0.22,      0.91,      1.00,      0.37,      1.00,      0.77,      0.37,      0.00,      0.00,      0.37,     17.08,     35.15,     18.03,      9.46,      7.66,      0.00,      0.00,      0.00,      0.00,    610.33,    567.87,    459.70,      0.00,      6.36,      5.92,      4.79,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   6,      5.50,      0.00,      0.00,      2.09,      0.00,      0.00,      0.00,    610.33,    567.87,    459.68,      0.00,         2,    487.75,      0.22,      0.00,      1.00,      0.00,      1.00,      0.79,      0.00,      0.00,      0.00,      0.00,     17.08,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    610.33,    567.87,    459.68,      0.00,      6.36,      5.92,      4.79,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   7,      5.65,      0.00,      0.00,      5.52,      0.00,      0.00,      0.00,    610.33,    567.87,    459.68,      0.00,         2,    487.75,      0.22,      0.00,      1.00,      0.00,      1.00,      0.79,      0.00,      0.00,      0.00,      0.00,     17.08,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    610.33,    567.87,    459.68,      0.00,      6.36,      5.92,      4.79,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
   8,      4.15,     11.00,      0.00,      1.55,      0.00,      0.00,      0.00,    610.33,    567.87,    459.68,      0.00,         2,    487.75,      0.22,      0.00,      1.00,      0.00,      1.00,      0.79,      0.00,      0.00,      0.00,      0.00,     17.08,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    610.33,    567.87,    459.68,      0.00,      6.36,      5.92,      4.79,      0.00,         4,      0.00,      0.00,      0.00,      1.00,      0.00,      1.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
